2026-06-30 15:22:00 info: Congratulations, your extension "Embold" is now active!
2026-06-30 15:22:00 info: ************* init ****************
2026-06-30 15:22:00 info: tempDirectory : c:\Users\Acer\.vscode\extensions\embold-vscode.embold-0.3.8\temp
2026-06-30 15:22:07 info: Extraction complete for source: c:\Users\Acer\.vscode\extensions\embold-vscode.embold-0.3.8\resources\embold-scanner-archive.zip, destination: c:\Users\Acer\.vscode\extensions\embold-vscode.embold-0.3.8\temp
2026-06-30 15:22:07 info: Extension installed on machine OS : win32
2026-06-30 15:22:07 info: Loading issues from local database on startup (checkbox unchecked)
2026-06-30 15:22:07 info: Using emboldDBDir: d:\Documents\Lesya\Rolling Scopes\summer_bootcamp_2026\js30-widgets\.embold
2026-06-30 15:22:07 info: NO_PROXY set from VS Code http.noProxy: 
2026-06-30 15:22:07 info: NODE_TLS_REJECT_UNAUTHORIZED not set (SSL verification enabled)
2026-06-30 15:22:07 info: Using system certificates for SSL verification
2026-07-05 18:26:21 info: Row(s) deleted
2026-07-05 18:26:43 info: Row(s) deleted
2026-07-05 18:27:41 info: Row(s) deleted
2026-07-05 18:27:43 info: Row(s) deleted
2026-07-05 18:29:28 info: Row(s) deleted
2026-07-05 18:34:51 info: Row(s) deleted
2026-07-05 18:34:51 info: Row(s) deleted
2026-07-05 18:41:12 info: Row(s) deleted
2026-07-05 18:47:27 info: Row(s) deleted
2026-07-05 18:52:58 info: Row(s) deleted
2026-07-05 18:55:57 info: Row(s) deleted
2026-07-05 18:56:01 info: Row(s) deleted
2026-07-05 18:56:01 info: Row(s) deleted
2026-07-05 18:56:03 info: Row(s) deleted
2026-07-05 18:57:23 info: Row(s) deleted
2026-07-05 18:59:09 info: Row(s) deleted
2026-07-05 19:02:17 info: Row(s) deleted
2026-07-05 19:10:07 info: Row(s) deleted
2026-07-05 19:13:15 info: Row(s) deleted
2026-07-05 19:17:01 info: Row(s) deleted
2026-07-05 19:17:17 info: Row(s) deleted
2026-07-05 19:20:24 info: Row(s) deleted
2026-07-05 19:23:35 info: Row(s) deleted
2026-07-05 19:28:48 info: Row(s) deleted
2026-07-05 19:41:39 info: Row(s) deleted
2026-07-05 19:48:50 info: Row(s) deleted
2026-07-05 20:00:10 info: Row(s) deleted
2026-07-05 20:01:06 info: Row(s) deleted
2026-07-05 20:12:40 info: Row(s) deleted
2026-07-05 20:16:20 info: Row(s) deleted
2026-07-05 20:24:22 info: Row(s) deleted
2026-07-05 20:27:45 info: Row(s) deleted
2026-07-05 20:30:52 info: Row(s) deleted
2026-07-05 20:43:01 info: Row(s) deleted
2026-07-05 20:46:14 info: Row(s) deleted
2026-07-05 20:50:12 info: Row(s) deleted
2026-07-05 20:57:12 info: Row(s) deleted
2026-07-05 21:05:56 info: Row(s) deleted
2026-07-05 21:05:56 info: Row(s) deleted
